Task name,Date,Tags,Status,Repo/PR,Notes
[v14.1.0] Patch & Publish,"April 18, 2023",Juno,Done,https://github.com/CosmosContracts/juno/pull/642,
[wasmvm] Helping Simon debug upgrading vm versions,"April 18, 2023",wasmvm,Done,https://github.com/CosmWasm/wasmvm/issues/426,
[CosmosCache] WIP Migration to local KVStore,"April 18, 2023",CosmosCache,In progress,https://github.com/Reecepbcups/cosmos-endpoint-cache/pull/33,
[CosmosCache] Python KVStore (local redis clone),"April 17, 2023",CosmosCache,Done,https://github.com/Reecepbcups/py_kvstore,
JGF - Swift Call,"April 17, 2023","Call, JGF",Done,,
[v14] Live in 6 minutes 40 seconds,"April 17, 2023",Juno,Done,,https://twitter.com/Reecepbcups_/status/1648014010627833856?s=20
[indexer] Sync to tip constantly for notification systems,"April 16, 2023",Indexer,Done,https://github.com/Reecepbcups/cosmos-indexer/commit/a1409cb472c17438a75e90c3f624723b8dd5f44b,Can be used for notification systems now if you wanted too
Call w/ umee/tabu,"April 15, 2023",Call,Done,,will benifit Juno holders
Call w/ SwiftProtocol (bug),"April 15, 2023",Call,Done,,
[indexer] Indexed all of Juno in 4.7 hours,"April 14, 2023",Indexer,Done,,Could have been faster if I was more on top of it
[indexer] 8x increase since last night (200 blocks / second. 2630 Tx decodes per second),"April 13, 2023","Indexer, Juno",Done,,
[indexer] Added SQL + Async (10 blocks decoded per 0.85 seconds),"April 12, 2023",Juno,In progress,https://github.com/Reecepbcups/cosmos-indexer/pull/6,
[indexer] Lightweight decoder,"April 12, 2023","Juno, Scripts",Done,https://github.com/Reecepbcups/juno-decode,
[PFM] Adding an easy UI for transfers,"April 11, 2023","IBC, Juno, WebApp",Done,https://github.com/Reecepbcups/juno-chain-webapp/pull/11,
"CosmosIndexer: Add types, and convert to SQL","April 11, 2023","Juno, Scripts",In progress,https://github.com/Reecepbcups/cosmos-indexer/pull/6,Syncing currently from block 6 mil to latest to perform some stats. Data should be ~30GB total.
Fix CI pipeline for releases,"April 10, 2023",Juno,Done,https://github.com/CosmosContracts/juno/pull/,
"[v14] Release, announcements, proposal, & coordination","April 10, 2023",Juno,Done,"https://www.mintscan.io/juno/proposals/282
https://github.com/CosmosContracts/mainnet/pull/101",
[call] With Josef from Swift Procol,"April 8, 2023",Call,Done,,debugging encrypted data with CosmJS & frontend
[blocks] Reduces block times to 3s forced,"April 8, 2023",Juno,Done,https://github.com/CosmosContracts/juno/pull/637,
Added internal TF capabilities toggling,"April 7, 2023",TokenFactory,Done,https://github.com/CosmosTokenFactory/token-factory/pull/15,
[PRICE BOT] Added WYND support + Historicals,"April 6, 2023",Bots,Done,https://github.com/Reecepbcups/cosmos-price-bot/blob/main/wynd.py,
"[DAO BOT] Added CW20 support ","April 6, 2023",Bots,Done,,
[1-1] BiWeekly Jack,"April 6, 2023",Call,Recurring,,"Juno Ecosystem, really productive"
[contract] Fund Community Pool Standalone Contract,"April 6, 2023","CosmWasm, Juno",Done,https://github.com/Reecepbcups/fund-community-pool-contract,
"[v15] Initial Faster Block Times + Upgrade handler ","April 5, 2023",Juno,In progress,https://github.com/CosmosContracts/juno/pull/634,(x/mint modification double since we are going to half block times to 3s)
[v15] Denom Gas Creation Fee,"April 5, 2023","Juno, TokenFactory",In progress,https://github.com/CosmosContracts/juno/pull/635,"If the denom fee is removed, then the gas fee is used. On upgrade we default to 2 million. Also uses a new repo which we will share with others"
[juno modules webapp] Fixed TF limitation + cleanup,"April 5, 2023",WebApp,Done,https://github.com/Reecepbcups/juno-chain-webapp//compare/e4e28046665b178193d79f42e9ae078087d83628...f6e25cd98e03940a4afa45d49128503a4275d374,"Scales better, alloow user to update denoms they did not create directly, add search params for direct website linking to sections with ?page=tokenfactory for example"
[DAO] Treasury bot for assets held,"April 5, 2023",Discord,Done,https://github.com/Reecepbcups/dao-treasury-bot,
[indexer] Building simple python cosmos indexer,"April 4, 2023","Infra, Juno",Done,https://github.com/Reecepbcups/cosmos-indexer,may publish a stats page / API for anyone in cosmos to use and read against. + redis subscribe for others who want to read the events?
[airdrop UI] Working on UI for airdropping factory tokens to all stakers/balances,"April 4, 2023","Juno, WebApp",In progress,https://github.com/Reecepbcups/juno-chain-webapp/pull/9,
[cw721] Added NFT snapshot tool,"April 4, 2023","Ecosystem, NFTs",Done,https://github.com/Reecepbcups/airdrop-tools/blob/main/cw721-nfts/nft_snapshot.py,"Async queries, can do ~1,000 NFT queries every 5.3 seconds. Limited by CPU cores really."
[tf] Getting a generic repo put together for all chains,"April 4, 2023","Ecosystem, TokenFactory",Done,https://github.com/CosmosTokenFactory/token-factory,
"[webapp] Darkmode IBC-Anywhere re-design ","April 3, 2023",,Done,https://ibc.reece.sh,
wasmvm: Add get default features,"April 3, 2023","CosmWasm, wasmvm",Done,https://github.com/CosmWasm/wasmvm/pull/413/files / https://github.com/CosmWasm/wasmd/pull/1316,
[v14] Wrote medium draft for Lobo/Comms DAO,"April 3, 2023",Writing,Done,https://medium.com/@reecepbcups/7bb2c6cd8c23,
[discord] Finished setup of developer forum channel guidelines & tags,"April 3, 2023",Discord,Done,https://discord.com/channels/816256689078403103/1092023034954649742,
[v14-alpha.2] Tagged and released to vals,"April 3, 2023",,Done,https://github.com/CosmosContracts/juno/releases/tag/v14.0.0-alpha.2,
"IAVL: Patch v45 SDK for archive node queries (JUNO + All cosmos chains). ","April 3, 2023","Ecosystem, Infra",Done,"https://github.com/Reecepbcups/cosmos-sdk/releases/tag/v0.45.15-archive.1
https://github.com/Reecepbcups/cosmos-sdk/releases/tag/v0.45.15-archive.1
https://github.com/Reecepbcups/cosmos-sdk/releases/tag/v0.45.15-archive.1",We probably need to maintain a v45.15 fork as Juno for the community with these patches
Call w/ Design DAO (juno website),"March 31, 2023",Meeting,Done,,
logic: migrating PeriodicVestingAccount account → Core-1 SubDAO,,Juno,Done,https://github.com/CosmosContracts/juno/compare/5c4fef563b4631e736e2146b7c7e6a4e806886cc...1d8a40ed44ba63dc77ffe0f3b520dd1169f1591d,"unbonds and sends all to Core-1 subdao, then vesting account is deleted. - other core1 members will get a new contract through the subDAO."
juno-web: Use gas for create denom,,"Juno, WebApp",Not started,https://github.com/Reecepbcups/juno-chain-webapp/commit/2948760fe62fdf3f94b148e04e037e4c59892f89,https://juno.reece.sh - also let Larry know its ready
[v47 / IBC] Spent all day trying to narrow down IBC relaying issue,,,Done,https://github.com/CosmosContracts/juno/pull/676,
